Partido,Producto Bruto Geográfico,Impuestos,Valor Agregado Bruto,Total productores de bienes,Agropecuario,Pesca,Mineria,Industria,Electricidad,Construccion,Total productores de servicios,Comercio,Hoteles y restaurantes,Transporte y comunicaciones,Financiero,Inmobiliario y empresariales,Publico,Enseñanza,Salud,Comunitario y personales,Servicio doméstico,Región,longitud,latitud
General Alvarado,629538044.0993705,88557048.84810236,540980995.2512681,253296949.1917149,202841970.42189398,0.0,10320.100617585445,18180041.62979211,15222485.784695812,17042131.254715417,287684046.05955327,75532241.40840058,11948937.30882818,53866513.53784621,5264180.643545146,76048421.86472192,23640283.160935447,16775961.749597821,11499281.66782463,10062990.828152068,3045233.8897012207,I,-58.07180537257197,-38.20262771283584
General Alvear,221462618.53197113,28713221.577312678,192749396.95465845,119141244.79352954,104678229.10635738,0.0,0.0,7831919.1703972025,2609800.9174547996,4021295.599320161,73608152.16112892,12428250.405773541,280838.0651224421,17709807.248545345,2215420.0323918913,14636533.80506875,16234451.924210256,4141001.3417959656,4172680.111206962,702438.7016694061,1086730.5253443571,I,-60.13315310376701,-36.03471064969906
General Arenales,284758307.0016039,38527866.632254,246230440.3693499,128624131.22327672,96545696.35815983,0.0,20415.85122174512,24888152.451560285,4740398.9953407785,2429467.566994086,117606309.14607316,35590593.58927139,236073.66058107693,25895108.232228793,3345862.6568026217,27794407.958563603,10849654.229526695,5715476.407023714,5102543.1162847215,1034491.2756379513,2042098.0201525833,I,-61.28376094504496,-34.237702723957625
General Belgrano,291709904.5910153,42182544.17493001,249527360.41608527,108808591.31336704,75922799.38097085,0.0,10320.100617585445,22022519.88880148,3254546.830472018,7598405.112505091,140718769.10271823,42605798.21525137,1023485.1359733293,24136178.45538615,3513659.209701435,33827122.73417642,14559470.73369133,8555448.77675764,7050715.571429258,3476444.8123093313,1970445.4580419664,I,-58.69807996864791,-35.83466234713038
General Guido,85061629.41594507,8857622.592351997,76204006.82359307,49416082.465960935,46000872.10957932,0.0,0.0,905722.1769980703,864761.8389762429,1644726.3404073024,26787924.357632134,4562463.333930716,2706238.5645758817,6889477.743953343,350098.97425104334,4814344.27285965,3526764.82270596,1247664.6394357006,2184794.157746342,52278.2881395923,453799.5600339074,I,-57.99573659518094,-36.66603454161071
General Juan Madariaga,383398278.5636497,47949100.65451282,335449177.9091369,147764381.1754325,100065422.12567,0.0,1800411.083668958,12163449.46710848,20617010.525596935,13118087.973388096,187684796.73370442,67072818.22176771,5913173.332270661,29755466.72154881,3552430.7359516304,32611716.843784586,15254247.12255122,10891321.098558977,15811945.140266523,4027227.5946902325,2794449.9223140613,I,-57.23066059497484,-37.15351571871585
General La Madrid,340991438.73535883,33925502.89237902,307065935.8429798,214490909.81883928,207040033.46541512,0.0,1720.0167695975742,2845670.5220692507,2293979.8544009626,2309505.96018436,92575026.02414049,20873857.6134169,340610.9405996748,24985910.214225743,2697031.30481303,18857110.41354478,11676366.074652648,4818796.189224668,6062035.936726621,567530.0336518437,1695777.3032846015,I,-61.3441308948868,-37.35612777700263
General Las Heras,328206634.3625675,59490386.87658651,268716247.485981,169822981.9553466,49622081.26189981,0.0,1684335.3270084686,106687953.95994386,3497341.299513843,8331270.10698062,98893265.53063436,20004834.17387859,394204.42827981734,24576947.965128392,4592766.630538517,22631155.44195004,10335127.255676886,7918127.484259737,5545028.208339175,1581443.637221889,1313630.305361311,I,-58.99544662116543,-34.90942437822857
General Lavalle,93535246.65265556,11450333.676016573,82084912.97663899,48532752.093364306,31015161.42119977,11124675.765935825,2580.0251543963614,2085807.6449253724,3537013.3390896423,767513.8970593058,33552160.883274682,8330976.595857328,395589.5886111992,7196459.464958206,652047.7081640437,7055379.579412702,3832766.3484480977,3299020.375772627,2331933.507484454,338566.7777149965,119420.93685102827,I,-56.94100298951157,-36.65075037731833
General Paz,190642842.5893753,30362224.396342073,160280618.19303322,80577004.62134124,48867493.055851966,0.0,27207.537991816174,21806218.003377248,5161837.579244995,4714248.444875215,79703613.57169196,17707634.775653012,436561.73329309095,15568074.096968727,2290620.1431835103,20476997.861758336,9664719.57945514,5904200.687053411,4394186.437768398,2030582.6069927514,1230035.649565591,I,-58.38965195928212,-35.46618301040534
General Pinto,299360790.92959595,33274830.287882853,266085960.64171308,171053826.84668458,152518571.2351693,0.0,0.0,7557143.5327792475,5401160.0307498295,5576952.04798621,95032133.7950285,26319607.96180097,132403.19194997236,22724994.55327348,2646460.3009503325,18796378.999590997,10993432.322580807,5047671.3325007865,5536067.582435019,972150.9350700963,1862966.6148760412,I,-62.0398793411227,-34.66852314772333
General Pueyrredon,9965027613.745651,1588795786.7810764,8376231826.964575,2894575673.0103493,278566973.76211506,476799987.2957391,17519175.49029405,1744289138.7413206,131668247.84208092,245732149.87879962,5481656153.954226,1804019173.7455819,265051305.03655145,847615838.7920936,165586140.51101613,1088738982.8118,359250398.6339357,370018889.27453613,340146611.8098386,193555975.34794116,47672837.99093048,I,-57.74302834770776,-37.96568314236043
General Rodríguez,1908604611.5695558,349399784.81708527,1559204826.7524705,763878330.8059809,74576488.16690528,0.0,1692852.7441369584,494175934.1841777,8343588.00025728,185089467.7105037,795326495.9464895,182840347.7282176,8634693.248999823,196524883.41620046,10713584.391368201,206059953.86794904,47751667.6360846,77776221.95802397,38662363.087244056,14946139.049443437,11416641.562958302,I,-58.987846798266986,-34.65061569024568
General San Martín,6762116808.941677,1222698012.5587401,5539418796.382937,2195205964.1791253,0.0,0.0,1284321.5892370364,1970927760.8632717,56722323.877013505,166271557.84960297,3344212832.203812,975224652.2401396,56007457.784217015,521598601.9021926,132534023.843695,743818843.882809,219651233.1370035,223094447.5258703,260674065.16982874,165942940.46622282,45666566.25183321,C,-58.56428216799652,-34.552771927080705
General Viamonte,342086837.3238417,48112911.54075012,293973925.78309155,162859347.1784302,129513771.05792166,0.0,10320.100617585445,18044061.54956627,9871340.784418968,5419853.685905736,131114578.60466136,33536425.189758725,273351.43808720337,27163955.830694832,4198931.456721178,28552245.273407206,16794614.562206548,6812599.565999125,8682808.537556833,2914243.6058558905,2185403.1443738174,I,-61.04965723440119,-34.99777889141617
General Villegas,945016325.5976045,102868703.56057072,842147622.0370338,556139352.9299556,497364168.77150345,0.0,64430.89845033076,40425682.512724034,13791158.793653838,4493911.953624011,286008269.1070782,98645206.25842738,1533717.704549721,72107517.09942316,7671518.64539834,52672977.58193681,21037697.650453243,14263361.371976797,10320078.742424335,2430020.2689325577,5326173.783555861,I,-62.95376490781935,-34.76871192027906
Guaminí,514605559.44002724,46538363.822003156,468067195.6180241,297279137.4559469,274510976.16767347,0.0,36423.88453265451,3892260.7892759526,3249300.2555989623,15590176.358865896,170788058.16207722,24352034.458480135,346247.5932673156,100442478.87307732,2637833.3306881175,18492460.575149763,11673209.419577451,4848445.917797683,6017529.324081007,461172.7719503738,1516645.898008059,I,-62.41853106096796,-36.89067551095447
Hipólito Yrigoyen,284989663.6767762,30167750.25533791,254821913.42143825,175927823.45758438,161605458.59705758,0.0,2580.0251543963614,4222850.186402908,6563409.191542298,3533525.4574271985,78894089.96385387,20289157.85715001,188974.97136782284,20979133.726343684,2817556.7526365016,15813693.387699088,8939451.086650215,3559103.0645953133,3954415.745393292,740420.7245290623,1612182.6474888816,I,-61.66018762608905,-36.25918902073445
Hurlingham,2560129416.9086,457695893.7110917,2102433523.1975083,771751597.0761911,5449.84984245592,0.0,467495.1829242157,651926011.6953652,24946581.888547804,94406058.4595114,1330681926.1213174,341742378.1873288,19613025.91841725,197738044.4587869,49956947.08721391,299746787.7633981,81422109.28191276,167166345.62835655,96137973.77240624,58743605.56106834,18414708.46242856,C,-58.64952538675535,-34.59928305531323
Ituzaingó,2348866344.383407,415069011.10644686,1933797333.2769604,628138576.3606594,16349.549527367762,0.0,758067.9388581859,494755933.42102313,27388180.216693394,105220045.23455724,1305658756.916301,394306347.01770365,33140781.213079523,188896054.9574296,60628905.25540524,311209717.6371919,77914830.40316406,80931061.14831766,86190600.11186634,58850356.55849625,13590102.613647016,C,-58.68875951557909,-34.63607161201617
José C. Paz,3596311584.406495,728405027.9395171,2867906556.466978,1096857283.7336807,196194.5943284131,0.0,271239.1662317566,981598463.4897201,39170112.74623265,75621273.73716788,1771049272.7332973,371524194.96450806,27958104.105266828,311630866.5662304,28911336.225725148,451745676.61976767,114400848.7118998,202056231.79667222,150290546.42436996,65706517.979568735,46824949.33928818,C,-58.77763459833175,-34.51185316281214
Junín,1570006487.6145592,231789976.8156949,1338216510.7988644,469808118.6939051,159186491.59177005,0.0,393892.5053097316,211492648.8909469,29285614.480305035,69449471.22557345,868408392.1049591,313248263.2387781,8270827.27255044,122216122.70652863,31782095.54436308,156648504.7018984,69749948.70099795,62949932.97524075,74384285.62070392,19330068.241058253,9828343.102839626,I,-61.00525012787072,-34.546475132400666
La Costa,1149358786.2484372,173274617.77979904,976084168.4686382,296409466.4942641,358660.3546330304,1594955.3125733642,60044.221775042584,44277822.46735031,44110049.27631056,206007934.86162183,679674701.974374,181960228.11771297,38275578.25791383,91765921.20957232,11290936.576540919,196230308.5508374,59226107.598369494,41569458.65793304,24417539.3547085,32323305.133748107,2615318.517037519,I,-56.71594027517684,-36.69716782095072
La Matanza,19233104220.623997,4022074491.5659056,15211029729.05809,5530905236.674022,2947817.2611161917,0.0,10480685.906123295,5061113676.700167,155143783.5650652,301219273.24155086,9680124492.38407,2349333912.772041,140724442.0566227,1819076499.745645,300234373.0800349,2428197481.8541,717361657.0210444,826350039.1541407,610962771.8811146,348781807.5752495,139101507.2440777,C,-58.62544569444762,-34.770348101664
La Plata,8745136054.350672,1454042098.6989412,7291093955.651731,1430427557.8609533,89142385.25957331,0.0,17153465.095610313,951454869.5531377,149699659.33792078,222977178.61471117,5860666397.790777,1423949039.8139403,122970167.30257148,689603230.9481679,278581998.4530399,1191662413.0250185,828889566.0675641,638601980.1478268,381322215.3501326,233457108.7592691,71628677.92324676,C,-58.01777778856708,-35.003847015806244
Lanús,6445249392.476612,1155259610.881779,5289989781.594833,1800311937.6625495,0.0,0.0,1829064.1099018108,1563034198.187829,88441062.9509705,147007612.41384816,3489677843.9322834,939940577.7972932,70638099.50870821,511094792.6206543,200989466.07281634,856177318.3129193,236353747.09466988,214673646.93537018,255421590.03384715,167129273.25848415,37259332.29752082,C,-58.39469650482231,-34.705654244172585
Laprida,243792587.82129723,28099329.56006463,215693258.26123258,114045919.17094226,100835092.29007992,0.0,40242.9320378861,5361414.280589805,2205047.583590006,5604122.08464465,101647339.09029032,21542072.009192117,296982.6492947737,34762457.592582785,2935084.4332745303,18331748.818526242,10941583.558147624,4779040.589502766,5888776.705204278,664888.9302422423,1504703.8043229561,I,-60.7681481810556,-37.51650558510951
Las Flores,423403272.5373186,65929494.26886118,357473778.2684574,177677695.09530953,86206910.73030494,0.0,194162.09503674434,62060562.282661274,13394116.769381473,15821943.217925109,179796083.17314786,40511422.4082504,621697.7427269558,50963692.57552542,5400319.055245432,42748602.17690469,18138758.31933021,9994435.856395245,6075070.920531374,2941723.287532447,2400360.8307056683,I,-59.17646094976033,-36.01582665716056
Leandro N. Alem,299120830.1519949,41393553.08872791,257727277.06326696,140161894.0979864,101666292.1663874,0.0,12613.456310382211,28398053.50176769,5204616.508182106,4880318.465338813,117565382.96528056,31629618.533738516,882556.3495079342,24205467.568202652,3476086.8400473255,26172312.498276584,7777879.087950936,7175211.436679249,7694959.622887135,6162872.29096967,2388418.737020565,I,-61.61277710505372,-34.49841811623317
Lezama,90486896.2101331,12360672.936183877,78126223.27394924,36591621.94393687,30741214.717936072,0.0,57420.278441683295,2203801.6374289137,1888781.0363629474,1700404.2737672569,41534601.330012366,10285820.20013713,585813.5645955706,7354441.430536322,1476769.513236452,9936215.434358686,4115351.056537943,2493241.0527337217,3737239.0496683265,1179505.1239700257,370204.9042381876,I,-57.89484438957691,-35.849208392140426
Lincoln,853937041.3325527,113810776.7521066,740126264.580446,416047542.5217737,310029565.28189856,0.0,73788.71941573593,78456317.86513536,16432449.348803405,11055421.30652064,324078722.05867237,95037686.35153252,1744605.2213942232,71149511.28477445,10616081.18872137,69658115.76187547,30048598.07546325,17805992.831324853,17148420.05344035,4946432.822334968,5923278.467811001,I,-61.6824583851243,-35.07044796967019
Lobería,643417355.5254397,60581338.96587777,582836016.559562,430909124.2464143,399842337.4481042,0.0,9444888.151092302,7585629.518337193,4750278.447016517,9285990.6818641,151926892.31314772,37936561.28920576,484096.55174655834,46601754.19310806,3230076.6405879227,33173691.99069523,13835806.17271324,7057912.08809607,5038491.079935441,1774052.3847453832,2794449.9223140613,I,-58.693549778673294,-38.09005281868384
Lobos,597779784.3466005,94991778.99175602,502788005.35484457,238586600.86684704,113004576.33785158,0.0,82560.80494068356,82906763.184523,15466517.718924934,27126182.820606817,264201404.4879975,82432705.49362978,2876736.152683117,47775171.90625806,10942277.120640924,60584297.611705765,18416383.35416185,17781243.724531665,13207723.886929821,5981248.26030034,4203616.977156195,I,-59.14574188278556,-35.219585786144144
Lomas de Zamora,8465552492.689559,1597335525.601731,6868216967.087828,2304996840.8618765,406799.8779545978,0.0,2287643.8037743936,2048749334.9563017,93857475.29203066,159695586.93181503,4563220126.225951,1110009176.2986999,93686288.80600405,703871226.2337478,212508124.9995072,1125872360.3997862,339024593.2988294,398705157.8127231,325917942.2201185,186319616.14729565,67305640.00923954,C,-58.42409543043943,-34.75496795553667
Luján,2068762129.000091,325419679.20301354,1743342449.7970774,876754104.0499114,43037050.08362818,0.0,1365169.3403875977,517609595.76982236,49956809.97095968,264785478.8851136,866588345.747166,213913395.5784192,20179721.042527337,134744957.58846658,23041899.93646715,167205018.44131938,49010082.68158147,126139344.3509374,96631750.90962215,24126402.249590397,11595772.968234846,I,-59.15845643998639,-34.56732241969334
Magdalena,348397099.5487538,66127349.471311346,282269750.07744247,152903307.55002856,38794940.96590212,0.0,265101.1711157928,93357708.69647631,6529966.174351067,13955590.542183273,129366442.5274139,23281388.39738708,772885.6960135687,28416781.91194337,2234487.4981869105,26405839.253827978,23165332.182167355,9980014.882265477,9478003.879806383,3709031.7425142173,1922677.0833015554,I,-57.68612798174631,-35.185103070439375
