Partido,Producto Bruto Geográfico,Agropecuario,Pesca,Mineria,Industria,Electricidad,Construccion,Comercio,Hoteles y restaurantes,Transporte y comunicaciones,Financiero,Inmobiliario y empresariales,Publico,Salud,Comunitario y personales,Servicio doméstico,Región,longitud,latitud
San Fernando,737629.4970417109,833.5304490235488,0.0,65.58129804338796,147966.08635509867,5398.953523316898,99514.12495624364,140539.90557128107,16764.376323108012,29031.21197546862,10827.08610559686,62382.85302871194,23099.740892524125,30807.292109032263,26015.187948983494,7801.8081561274685,C,-58.53458165688239,-34.15583611197679
Olavarría,749699.2321450422,84652.31897517765,0.0,33824.81348262712,223793.46602525644,11718.357558521133,20111.069093592665,89075.06718882539,3547.325180279286,49277.0504157524,6301.953576293527,38548.58810689164,25198.34600621536,15527.086441767864,8410.447661537988,2999.9697625738027,I,-60.670205401274366,-36.857634046571874
Hurlingham,695696.9470320872,1.8826987329394536,0.0,38.52423840901854,169173.83598921957,6089.881480888605,25283.11741840425,111384.59264395572,7651.75003290264,28090.76992720188,12149.195138020075,65646.24621688883,27851.18107494241,38062.83003416558,20220.888975309223,4849.00772944319,C,-58.64952538675535,-34.59928305531323
Tandil,655625.0324188323,140204.39837476602,0.0,2677.511749469857,57854.25208390367,9357.342231621054,33539.826666829606,150497.87567458046,12210.030133435295,28723.59615477462,9597.23466803077,46005.25572406099,22630.277184940835,22158.44369327003,10332.720854004172,5166.614591099327,I,-59.18198278964916,-37.33642931678382
Ituzaingó,632408.9316371251,5.648096198818362,0.0,62.46907149744946,126344.24302876867,6566.846658170002,28201.774155344094,127881.55131165044,13189.271300027767,26254.035375595275,15060.881316929284,67898.62547493917,26651.48229439728,34245.224536568894,19779.691987726663,3578.580282818645,C,-58.68875951557909,-34.63607161201617
Luján,544252.4633982008,9691.983118354765,0.0,237.08646507424947,121458.51251921404,13744.315794124275,71005.41942247386,67844.8960834899,7542.517431106238,19852.23883269221,6038.770658183056,35939.45908275723,16764.349545282363,37105.114419522186,7701.049407830489,3053.428343248598,I,-59.15845643998639,-34.56732241969334
General Rodríguez,466079.4448950762,16338.933371241075,0.0,311.2195114759592,109888.89565286416,1957.650097762683,49650.6747571534,58524.35761170239,3432.0385303640205,28550.240617514777,2665.532279650064,43006.651440275455,16267.84462748836,15050.66550915687,5452.114964749377,3006.2590073590727,I,-58.987846798266986,-34.65061569024568
Pergamino,485632.46269760985,57263.997130576805,0.0,8.76343760536727,102399.97032092756,10365.04256947215,8895.042902847474,93518.27826638364,2311.4129209652383,22327.994747272765,8517.13463235748,41886.072563784976,18916.061182731155,14621.03003132096,6134.223513899767,3235.8164420214284,I,-60.54478269502504,-33.83608889833079
Necochea,469382.6956144105,108619.80114337133,368.8987086252101,909.8229456939756,21899.15368969619,20381.23348447465,14660.8890505914,101112.05978823768,4566.147631921635,39954.0212980302,6148.191050915831,33955.25065900957,21258.35973195265,12711.208373038313,7210.462828228968,2547.144138034361,I,-59.16738694687353,-38.25541100461289
Junín,430497.84739634313,44919.17300668659,0.0,32.458962864944816,48954.28432413365,7832.201450981019,18571.26278407199,102032.28738633097,3095.6657595197908,18248.69530766094,8083.766081908116,33070.17807849019,23811.412583081383,29566.475780698933,7373.180932805429,2588.024229138616,I,-61.00525012787072,-34.546475132400666
