,links,usuario,fecha,retweet,texto,comentarios,retweets,likes,quotes,hora,cuenta,autor
5933,https://twitter.com/PatoBullrich/status/1763574048309584352#m,Patricia Bullrich,2024-03-01,False,"el estafador mas buscado de brasil, detenido en nuestro pais escapo de brasil con 400 millones de dolares tras una estafa piramidal con criptomonedas. antonio da silva neto y su mujer estaban en escobar, donde los detuvo interpol pfa. argentina no es mas refugio de delincuentes",400,3751,14567,82, 2:36 PM UTC,PatoBullrich,Patricia Bullrich
5934,https://twitter.com/PatoBullrich/status/1763360327138156950#m,Patricia Bullrich,2024-03-01,False,"bajamos los homicidios un 57 % en rosario 157 detenidos 56 kg de cocaina incautados 890 kg de precursores quimicos menos en dos meses con el plan bandera, y junto al gobierno de santa fe y el intendente de rosario, logramos resultados impactantes. el objetivo es claro: terminar con las mafias, narcos y extorsiones para llevarles seguridad a los argentinos de bien.",572,3480,15147,145, 12:27 AM UTC,PatoBullrich,Patricia Bullrich
5935,https://twitter.com/PatoBullrich/status/1763255405440803246#m,Patricia Bullrich,2024-02-29,False,"!1 millon y medio de dolares en droga! la casa era un bunker. la pfa llego hasta el barrio san jose, en corrientes, allano e incauto mas de 600 kilos. en estos paquetes hay millones de dosis que no van a llegar nunca a destino. se incautan, se queman.",290,2702,9759,58, 5:30 PM UTC,PatoBullrich,Patricia Bullrich
5937,https://twitter.com/PatoBullrich/status/1762985507162636661#m,Patricia Bullrich,2024-02-28,False,"15 kilos de cocaina en el tanque de nafta envolvio los ladrillos en bolsas selladas al vacio para burlar a los gendarmes. no pudo. el narco conductor quedo detenido en salta y sin la droga. mas de 45 mil dosis no llegan a destino. !droga que se incauta, se quema!",209,1922,7350,56, 11:37 PM UTC,PatoBullrich,Patricia Bullrich
5938,https://twitter.com/PatoBullrich/status/1762937180068974803#m,Patricia Bullrich,2024-02-28,False,!mas de un millon de dolares a costa de explotacion sexual! los incauto pna tras seguir los pasos de una red de trata. la ayuda de un perro especialmente entrenado fue clave para encontrar los paquetes escondidos en la pared. no hay lugar para las organizaciones criminales.,324,3629,12113,83, 8:25 PM UTC,PatoBullrich,Patricia Bullrich
5939,https://twitter.com/PatoBullrich/status/1762874604584886744#m,Patricia Bullrich,2024-02-28,False,las protestas en la vereda. las calles no se cortan. !ley y orden!,1701,3719,23204,227, 4:17 PM UTC,PatoBullrich,Patricia Bullrich
5940,https://twitter.com/PatoBullrich/status/1762820802796257653#m,Patricia Bullrich,2024-02-28,False,"los que se creen duenos de la calle intentaron bloquear el ingreso a aeroparque. di la orden expresa para que a traves de la psa se mantenga la libre circulacion en todos los aeropuertos del pais, y ya esta sucediendo. la argentina de los aprietes termino. no vamos a dar ni un paso atras con los que pretenden frenar la argentina.",1992,5137,26065,180, 12:43 PM UTC,PatoBullrich,Patricia Bullrich
5941,https://twitter.com/PatoBullrich/status/1762568565809373432#m,Patricia Bullrich,2024-02-27,False,"500 kilos de marihuana en misiones asi, entre la maleza y en un camino secreto a la vera del rio parana, los gendarmes incautaron todos estos paquetes de marihuana impidiendo que mas de un millon y medio de dosis se distribuyeran por los barrios. !cuidar nuestra frontera es cuidar a nuestra gente!",203,1543,6249,42, 8:01 PM UTC,PatoBullrich,Patricia Bullrich
5942,https://twitter.com/PatoBullrich/status/1762498499281666116#m,Patricia Bullrich,2024-02-27,False,"la pareja inicio su relacion en paraguay. el le propuso venir a argentina por un futuro mejor, pero al llegar la encerro y la sometio laboral y sexualmente. ella logro hacer la denuncia a la policia. !la mujer esta a salvo y el, detenido! denuncia la trata al 145.",128,1317,5644,28, 3:22 PM UTC,PatoBullrich,Patricia Bullrich
5943,https://twitter.com/PatoBullrich/status/1762443343470924272#m,Patricia Bullrich,2024-02-27,False,"!seguimos golpeando al narcotrafico! la gna freno a dos narcos que intentaban cruzar el rio bermejo en salta, con 50 kilos de marihuana. cuidar nuestras fronteras para impedir que la droga entre al pais y llegue a nuestros jovenes volvio a ser una prioridad.",755,2279,10460,563, 11:43 AM UTC,PatoBullrich,Patricia Bullrich
